source,month,bucket,fills,rs30_bps
binance:HYPEUSDT,2025-05,touch,277301,-2.4663
binance:HYPEUSDT,2025-05,0-2 bps,229611,-1.3407
binance:HYPEUSDT,2025-05,2-5 bps,64495,-0.2742
binance:HYPEUSDT,2025-05,5-10 bps,14511,0.3566
binance:HYPEUSDT,2025-05,10+ bps,3821,3.7688
binance:HYPEUSDT,2025-06,touch,8453444,-1.6211
binance:HYPEUSDT,2025-06,0-2 bps,5382967,-1.0198
binance:HYPEUSDT,2025-06,2-5 bps,1066578,-0.2607
binance:HYPEUSDT,2025-06,5-10 bps,255870,1.3334
binance:HYPEUSDT,2025-06,10+ bps,43512,10.3145
binance:HYPEUSDT,2025-07,touch,5825540,-1.3139
binance:HYPEUSDT,2025-07,0-2 bps,3867528,-1.0174
binance:HYPEUSDT,2025-07,2-5 bps,619130,-0.4777
binance:HYPEUSDT,2025-07,5-10 bps,91237,-0.0245
binance:HYPEUSDT,2025-07,10+ bps,11063,0.8491
binance:HYPEUSDT,2025-08,touch,6895168,-1.3871
binance:HYPEUSDT,2025-08,0-2 bps,4137934,-1.1808
binance:HYPEUSDT,2025-08,2-5 bps,911275,-0.6525
binance:HYPEUSDT,2025-08,5-10 bps,132082,1.132
binance:HYPEUSDT,2025-08,10+ bps,26997,9.9676
binance:HYPEUSDT,2025-09,touch,6958545,-1.3899
binance:HYPEUSDT,2025-09,0-2 bps,4611963,-1.0261
binance:HYPEUSDT,2025-09,2-5 bps,1023066,-0.3125
binance:HYPEUSDT,2025-09,5-10 bps,188332,0.3506
binance:HYPEUSDT,2025-09,10+ bps,60581,8.9516
binance:HYPEUSDT,2025-10,touch,11064503,-1.803
binance:HYPEUSDT,2025-10,0-2 bps,7544035,-1.4727
binance:HYPEUSDT,2025-10,2-5 bps,1567593,-0.7778
binance:HYPEUSDT,2025-10,5-10 bps,414356,0.9452
binance:HYPEUSDT,2025-10,10+ bps,185146,12.8602
binance:HYPEUSDT,2025-11,touch,10935239,-1.4268
binance:HYPEUSDT,2025-11,0-2 bps,7011723,-0.9088
binance:HYPEUSDT,2025-11,2-5 bps,1287850,-0.391
binance:HYPEUSDT,2025-11,5-10 bps,329281,0.6003
binance:HYPEUSDT,2025-11,10+ bps,96639,2.3214
binance:HYPEUSDT,2025-12,touch,8383505,-1.4705
binance:HYPEUSDT,2025-12,0-2 bps,4084664,-1.0365
binance:HYPEUSDT,2025-12,2-5 bps,940264,-0.263
binance:HYPEUSDT,2025-12,5-10 bps,245705,0.6431
binance:HYPEUSDT,2025-12,10+ bps,69079,4.4013
binance:HYPEUSDT,2026-01,touch,8714902,-1.3636
binance:HYPEUSDT,2026-01,0-2 bps,4109712,-0.8782
binance:HYPEUSDT,2026-01,2-5 bps,988026,0.0155
binance:HYPEUSDT,2026-01,5-10 bps,277074,0.745
binance:HYPEUSDT,2026-01,10+ bps,89545,4.4402
binance:HYPEUSDT,2026-02,touch,11412275,-1.5339
binance:HYPEUSDT,2026-02,0-2 bps,5970157,-1.1208
binance:HYPEUSDT,2026-02,2-5 bps,1167031,-0.5934
binance:HYPEUSDT,2026-02,5-10 bps,305987,0.122
binance:HYPEUSDT,2026-02,10+ bps,100339,2.2511
binance:HYPEUSDT,2026-03,touch,8950106,-1.4615
binance:HYPEUSDT,2026-03,0-2 bps,4457541,-1.0933
binance:HYPEUSDT,2026-03,2-5 bps,749355,-0.4069
binance:HYPEUSDT,2026-03,5-10 bps,179147,0.1824
binance:HYPEUSDT,2026-03,10+ bps,50475,2.5965
binance:HYPEUSDT,2026-04,touch,6177248,-1.1515
binance:HYPEUSDT,2026-04,0-2 bps,2593826,-0.7875
binance:HYPEUSDT,2026-04,2-5 bps,323225,0.0563
binance:HYPEUSDT,2026-04,5-10 bps,74529,1.0036
binance:HYPEUSDT,2026-04,10+ bps,13228,4.222
binance:HYPEUSDT,2026-05,touch,12045014,-1.3432
binance:HYPEUSDT,2026-05,0-2 bps,9359933,-0.8648
binance:HYPEUSDT,2026-05,2-5 bps,1460852,0.4098
binance:HYPEUSDT,2026-05,5-10 bps,304333,2.0856
binance:HYPEUSDT,2026-05,10+ bps,49497,10.1381
binance:HYPEUSDT,2026-06,touch,15923772,-1.5256
binance:HYPEUSDT,2026-06,0-2 bps,13274789,-1.0978
binance:HYPEUSDT,2026-06,2-5 bps,1885198,0.0943
binance:HYPEUSDT,2026-06,5-10 bps,376464,1.901
binance:HYPEUSDT,2026-06,10+ bps,46909,9.3574
binance:HYPEUSDT,2026-07,touch,8319835,-1.2377
binance:HYPEUSDT,2026-07,0-2 bps,4824280,-0.8496
binance:HYPEUSDT,2026-07,2-5 bps,441577,-0.1378
binance:HYPEUSDT,2026-07,5-10 bps,84326,1.3901
binance:HYPEUSDT,2026-07,10+ bps,10907,8.3222
binance:HYPEUSDT,2026-08,touch,9277832,-1.5665
binance:HYPEUSDT,2026-08,0-2 bps,7296976,-1.1026
binance:HYPEUSDT,2026-08,2-5 bps,1003713,-0.3274
binance:HYPEUSDT,2026-08,5-10 bps,199599,-1.212
binance:HYPEUSDT,2026-08,10+ bps,55284,-5.0519
binance:HYPEUSDT,POOLED,touch,139614229,-1.457
binance:HYPEUSDT,POOLED,0-2 bps,88757639,-1.0354
binance:HYPEUSDT,POOLED,2-5 bps,15499228,-0.1916
binance:HYPEUSDT,POOLED,5-10 bps,3472833,0.8913
binance:HYPEUSDT,POOLED,10+ bps,913022,5.7727
binance:NVDAUSDT,2026-03,touch,115891,-1.0084
binance:NVDAUSDT,2026-03,0-2 bps,20457,0.134
binance:NVDAUSDT,2026-03,2-5 bps,3823,0.579
binance:NVDAUSDT,2026-03,5-10 bps,611,3.1078
binance:NVDAUSDT,2026-03,10+ bps,364,15.3126
binance:NVDAUSDT,2026-04,touch,569274,-1.0098
binance:NVDAUSDT,2026-04,0-2 bps,110061,-0.2328
binance:NVDAUSDT,2026-04,2-5 bps,18180,1.3869
binance:NVDAUSDT,2026-04,5-10 bps,4048,5.8173
binance:NVDAUSDT,2026-04,10+ bps,1728,11.7599
binance:NVDAUSDT,2026-05,touch,1515894,-0.7496
binance:NVDAUSDT,2026-05,0-2 bps,410276,-0.3285
binance:NVDAUSDT,2026-05,2-5 bps,34205,0.276
binance:NVDAUSDT,2026-05,5-10 bps,7118,2.0734
binance:NVDAUSDT,2026-05,10+ bps,2707,7.1984
binance:NVDAUSDT,2026-06,touch,1506288,-0.7923
binance:NVDAUSDT,2026-06,0-2 bps,290442,-0.4353
binance:NVDAUSDT,2026-06,2-5 bps,24996,0.6974
binance:NVDAUSDT,2026-06,5-10 bps,6282,3.1703
binance:NVDAUSDT,2026-06,10+ bps,2290,10.2394
binance:NVDAUSDT,2026-07,touch,1785298,-0.7496
binance:NVDAUSDT,2026-07,0-2 bps,286981,-0.313
binance:NVDAUSDT,2026-07,2-5 bps,25586,0.8435
binance:NVDAUSDT,2026-07,5-10 bps,4233,2.7036
binance:NVDAUSDT,2026-07,10+ bps,986,7.5969
binance:NVDAUSDT,2026-08,touch,1967643,-0.8014
binance:NVDAUSDT,2026-08,0-2 bps,331640,-0.5293
binance:NVDAUSDT,2026-08,2-5 bps,33664,1.4714
binance:NVDAUSDT,2026-08,5-10 bps,8297,4.0976
binance:NVDAUSDT,2026-08,10+ bps,2567,17.6916
binance:NVDAUSDT,POOLED,touch,7460288,-0.7872
binance:NVDAUSDT,POOLED,0-2 bps,1449857,-0.421
binance:NVDAUSDT,POOLED,2-5 bps,140454,0.9299
binance:NVDAUSDT,POOLED,5-10 bps,30589,3.268
binance:NVDAUSDT,POOLED,10+ bps,10642,11.3199
binance:SPYUSDT,2026-04,touch,179955,-0.4912
binance:SPYUSDT,2026-04,0-2 bps,78914,0.2143
binance:SPYUSDT,2026-04,2-5 bps,9057,2.1579
binance:SPYUSDT,2026-04,5-10 bps,2039,3.8452
binance:SPYUSDT,2026-04,10+ bps,1139,18.3589
binance:SPYUSDT,2026-05,touch,423240,-0.6642
binance:SPYUSDT,2026-05,0-2 bps,149285,-0.0029
binance:SPYUSDT,2026-05,2-5 bps,10659,1.6145
binance:SPYUSDT,2026-05,5-10 bps,1528,4.4309
binance:SPYUSDT,2026-05,10+ bps,478,10.2327
binance:SPYUSDT,2026-06,touch,853567,-0.5912
binance:SPYUSDT,2026-06,0-2 bps,232423,-0.1713
binance:SPYUSDT,2026-06,2-5 bps,11728,1.5132
binance:SPYUSDT,2026-06,5-10 bps,2110,4.4421
binance:SPYUSDT,2026-06,10+ bps,245,7.4553
binance:SPYUSDT,2026-07,touch,605905,-0.5584
