source,month,bucket,fills,rs30_bps
arcus:AAVE-USD,2026-W38,touch,317,15.1647
arcus:AAVE-USD,2026-W38,0-2 bps,36,36.768
arcus:AAVE-USD,2026-W38,2-5 bps,67,22.7052
arcus:AAVE-USD,2026-W38,5-10 bps,23,18.6477
arcus:AAVE-USD,2026-W38,10+ bps,10,18.6168
arcus:AAVE-USD,POOLED,touch,317,15.1647
arcus:AAVE-USD,POOLED,0-2 bps,36,36.768
arcus:AAVE-USD,POOLED,2-5 bps,67,22.7052
arcus:AAVE-USD,POOLED,5-10 bps,23,18.6477
arcus:AAVE-USD,POOLED,10+ bps,10,18.6168
arcus:AMD-USD,2026-W27,touch,957,6.8813
arcus:AMD-USD,2026-W27,10+ bps,10,100.5385
arcus:AMD-USD,2026-W28,touch,1930,17.5258
arcus:AMD-USD,2026-W28,2-5 bps,10,28.3718
arcus:AMD-USD,2026-W28,5-10 bps,16,14.6449
arcus:AMD-USD,2026-W29,touch,4424,15.7038
arcus:AMD-USD,2026-W29,0-2 bps,29,4.1241
arcus:AMD-USD,2026-W29,2-5 bps,13,3.8342
arcus:AMD-USD,2026-W29,5-10 bps,22,9.6683
arcus:AMD-USD,2026-W29,10+ bps,17,8.5704
arcus:AMD-USD,2026-W30,touch,1469,4.6531
arcus:AMD-USD,2026-W30,0-2 bps,26,7.1594
arcus:AMD-USD,2026-W31,touch,514,73.7985
arcus:AMD-USD,2026-W32,touch,707,16.0433
arcus:AMD-USD,2026-W32,0-2 bps,10,16.7177
arcus:AMD-USD,2026-W33,touch,190,39.3566
arcus:AMD-USD,2026-W35,touch,453,8.6914
arcus:AMD-USD,2026-W35,0-2 bps,26,0.0073
arcus:AMD-USD,2026-W36,touch,498,3.3605
arcus:AMD-USD,2026-W36,0-2 bps,22,9.5223
arcus:AMD-USD,2026-W37,touch,1104,-0.775
arcus:AMD-USD,2026-W37,0-2 bps,17,14.877
arcus:AMD-USD,2026-W38,touch,1008,2.8299
arcus:AMD-USD,2026-W38,0-2 bps,13,4.3514
arcus:AMD-USD,2026-W39,touch,521,1.1545
arcus:AMD-USD,2026-W39,0-2 bps,16,0.2025
arcus:AMD-USD,POOLED,touch,13775,14.0737
arcus:AMD-USD,POOLED,0-2 bps,182,7.0416
arcus:AMD-USD,POOLED,2-5 bps,65,20.5626
arcus:AMD-USD,POOLED,5-10 bps,63,8.9196
